statement,label
says the annies list political group supports thirdtrimester abortions on demand,0
when did the decline of coal start it started when natural gas took off that started to begin in president george w bushs administration,1
hillary clinton agrees with john mccain by voting to give george bush the benefit of the doubt on iran,1
health care reform legislation is likely to mandate free sex change surgeries,0
the economic turnaround started at the end of my term,1
the chicago bears have had more starting quarterbacks in the last  years than the total number of tenured uw faculty fired during the last two decades,1
jim dunnam has not lived in the district he represents for years now,0
im the only person on this stage who has worked actively just last year passing along with russ feingold some of the toughest ethics reform since watergate,1
however it took  million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations centerpacific,1
says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost  million in higher electricity costs,1
for the first time in history the share of the national popular vote margin is smaller than the latino vote margin,1
since  nearly  million americans have slipped out of the middle class and into poverty,1
when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it,0
the economy bled  billion due to the government shutdown,1
most of the affordable care act has already in some sense been waived or otherwise suspended,0
in this last election in november   percent of the american people chose not to vote   percent of young people and  percent of lowincome workers chose not to vote,1
mccain opposed a requirement that the government buy americanmade motorcycles and he said all buyamerican provisions were quote disgraceful ,1
us rep ron kind dwis and his fellow democrats went on a spending spree and now their credit card is maxed out,0
water rates in manila philippines were raised up to  percent when a subsidiary of the world bank became a partial owner,1
almost  people left puerto rico last year,1
women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor,0
the united states has the highest corporate tax rate in the free world,1
we just had the best year for the auto industry in america in history,1
says scott walker favors cutting up to  families and children off health care,1
says mitt romney wants to get rid of planned parenthood,0
i dont know who jonathan gruber is,0
hate crimes against american muslims and mosques have tripled after paris and san bernardino,1
rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections,1
isis supporter tweeted at  am shooting began at  am in chattanooga tenn,0
youth unemployment in minority communities is about  to  percent,1
says paul ryan is still endorsing trump,1
if you look at states that are right to work they constantly do not have budget deficits and they have very good business climates,0
what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants,0
we cut business taxes so today  percent of our businesses dont pay a business tax,1
says mark pryor votes with obama  percent of the time,1
we have a federal government that thinks they have the authority to regulate our toilet seats,1
austin is a city that has basically doubled in size every  years or so since it was founded,1
the nuclear test conducted in our nation this time is the earths th nuclear test the five permanent members of the un security council have conducted  percent of the total nuclear tests,1
in the case of a catastrophic event the atlantaarea offices of the centers for disease control and prevention will selfdestruct,0
under president george w bush we added  trillion to the debt under president obama weve added  trillion to the debt,1
says a us supreme court justice suggested that some us cases will be decided based on south african law,0
says marco rubio skipped  defense votes including one to arm the kurds to fight isis,1
rep david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company,0
says ohio budget item later signed into law by gov john kasich requires women seeking an abortion to undergo a mandatory vaginal probe,0
we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster ,0
africanamerican youth unemployment is  percent hispanic youth unemployment is  percent,1
obamacare will provide insurance to all nonus residents even if they are here illegally,0
president barack obama took exactly none of his own deficit reduction commissions ideas not one,0
it was under barack obama and hillary clinton that changed the rules of engagement that probably cost capt humayun khans life,0
hillary clinton in  cosponsored legislation that would jail flag burners,1
says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country,0
maggie hassan raised tuition making it the highest in america,0
says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom,0
we created  new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history,1
we have towns in west texas that are out of water that are having to truck in water,0
in georgia women earn  cents for every dollar earned by men,1
a federal system that verifies employees are authorized to work in the us is inaccurate anywhere from  percent all the way up to in excess of  percent of the time,1
they were going to build the wall a while ago not so long ago like in  and they couldnt get environmental impact statements,0
sen obamas campaign announced that hes choosing his cabinet,0
in  only  percent of latinos in texas were registered to vote and only  percent actually turned out,1
only  percent of public high schools in the country offer pe classes,0
said hes the only republican candidate whos actually turned around a government economy,1
on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong,1
there are  public school teachers in texas and there are  nonteachers in our public schools,1
under mayor cicilline providence was a sanctuary city,0
transgender individuals in the us have a in chance of being murdered,0
at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised,1
says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts,0
us rep phil gingrey gave the government the power to electronically spy on americans without a warrant,0
alex sink funneled three quarters of a million dollars in nobid contracts to bank of america,0
if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor,1
under obama home values in florida collapsed construction jobs were lost and the state had a high foreclosure rate,0
the new arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person,1
the only time in our history when the debt has been higher than this was the end of world war ii,1
the cost of health care is now the singlebiggest factor driving down the federal budget deficit,1
during the recession the consumer in his native perversity has begun to save the savings rate is now  percent,1
on whether a us supreme court nominee should be forthcoming at confirmation hearings,0
says one out of three us homeless men is a veteran,0
says charlie crist supports cuts to the medicare advantage program,0
i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together  forget the united states,1
says scott brown cosponsored legislation to let employers deny women coverage for birth control,1
at some point in their lives  of women use birth control,1
in the past  years egypt has made great strides in political and democratic reform,0
the amount of attention paid this week to chris christie makes the coverage of benghazi  pale in significance,0
says us rep steve southerland voted to keep the shutdown going,1
in rick perrys texas we import nurses  from other countries,1
there is a federal criminal law that says its a crime to transport dentures across state lines,1
we built a new prison every  days between  and  to keep up with our mass incarceration explosion of nonviolent offenders,1
sen mccains tax plan provides virtually nothing to the middle class,0
austin is burdened by the fastestgrowing tax increases of any major city in the nation,0
phoenix arizona is the no  kidnapping capital of the world,0
i belong to the aflcio,1
the insurance commissioner cant do squat about health care,1
says a poll found him the only republican candidate who could beat barack obama in texas  and by eight points,1
president ronald reagan sent troops into conflict only in one circumstance which was in grenada we were in a peacekeeping setting in lebanon,0
says david jolly supports privatizing social security,0
did you know us population growth is at its lowest since the great depression,1
the average student in florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones,1
since  more americans have died from gunfire than died in all the wars of this countrys history,1
a foreclosure tax that would take effect in  could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender,1
the florida department of agricultures website freshfromfloridacom can be used to get a permit to carry a loaded hidden gun without ever leaving your house,0
the atlanta streetcar is expected to create  jobs during construction totaling more than  jobs over the next  years,0
raising the minimum wage to  an hour would help lift over a million americans out of poverty,1
says secretary of state john kerry when he was a senator flew to managua and met with a communist dictator there daniel ortega and accused the reagan administration of engaging in terrorism,1
nato is opening up a major terror division  im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato,0
sen obama has always had a  percent prochoice rating,1
since gina raimondo took office investment fees on the states pension portfolio have gone up from about  million annually to about  million,1
the federal debt is growing by more than  billion a day,1
under president barack obamas jobs bill states would no longer have to lay off teachers firefighters and police officers,1
of our  teachers who are k over  of those teachers today are over  years old,0
twothirds of wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions,1
under president obamas healthcare reforms the premium for an average plan for a family didnt go down by  per year its gone up about  per year,1
the irs also investigated liberal groups groups that had progressive in their name  the irs was basically looking at everybody,1
says obama promised unemployment would never go above  percent,0
the economy is creating jobs at the fastest pace since ,1
president obama decided not to meet with prime minister benjamin netanyahu in new york,1
in a majority of states you can now marry freely but can still be fired for who you love,1
